"title","author","author_url","rating","voters_count","url"
"Evening","Susan Minot","https://www.goodreads.com/author/show/22476.Susan_Minot","3.37","4307","https://goodreads.com/book/show/40051.Evening"
"Firestarter","Stephen King","https://www.goodreads.com/author/show/3389.Stephen_King","3.88","177885","https://goodreads.com/book/show/233667.Firestarter"
"The Bumblebee Flies Anyway","Robert Cormier","https://www.goodreads.com/author/show/10442.Robert_Cormier","3.8","1173","https://goodreads.com/book/show/137559.The_Bumblebee_Flies_Anyway"
"The Bus Driver Who Wanted to be God & Other Stories","Etgar Keret","https://www.goodreads.com/author/show/34065.Etgar_Keret","4.0","5970","https://goodreads.com/book/show/836957.The_Bus_Driver_Who_Wanted_to_be_God_Other_Stories"
"A Murder Is Announced (Miss Marple, #5)","Agatha Christie","https://www.goodreads.com/author/show/123715.Agatha_Christie","3.98","41194","https://goodreads.com/book/show/16298.A_Murder_Is_Announced"
"The Giver (The Giver, #1)","Lois Lowry","https://www.goodreads.com/author/show/2493.Lois_Lowry","4.13","1653","https://goodreads.com/book/show/3636.The_Giver"
"Tears of the Broken (Dark Secrets, #1.1)","Angela M. Hudson","https://www.goodreads.com/author/show/5355122.Angela_M_Hudson","4.04","2200","https://goodreads.com/book/show/13122090-tears-of-the-broken"
"Goodnight Mister Tom","Michelle Magorian","https://www.goodreads.com/author/show/93351.Michelle_Magorian","4.31","36475","https://goodreads.com/book/show/257758.Goodnight_Mister_Tom"
"A Kiss Before Dying","Ira Levin","https://www.goodreads.com/author/show/8050.Ira_Levin","3.94","8707","https://goodreads.com/book/show/12770.A_Kiss_Before_Dying"
"DEEDS DARKLY DONE (The Elder Codex Series Book 3)","J.L. Lahey","https://www.goodreads.com/author/show/16376829.J_L_Lahey","4.78","18","https://goodreads.com/book/show/43810233-deeds-darkly-done"
"The Bridges of Madison County","Robert James Waller","https://www.goodreads.com/author/show/28024.Robert_James_Waller","3.61","74535","https://goodreads.com/book/show/83674.The_Bridges_of_Madison_County"
"Bloodgifted (The Dantonville Legacy, #1)","Tima Maria Lacoba","https://www.goodreads.com/author/show/6154201.Tima_Maria_Lacoba","4.04","650","https://goodreads.com/book/show/23574250-bloodgifted"
"Ripley Under Ground (Ripley, #2)","Patricia Highsmith","https://www.goodreads.com/author/show/7622.Patricia_Highsmith","3.73","5870","https://goodreads.com/book/show/427499.Ripley_Under_Ground"
"Die Nibelungen: neu erzählt","Michael Köhlmeier","https://www.goodreads.com/author/show/479297.Michael_K_hlmeier","3.64","278","https://goodreads.com/book/show/1956354.Die_Nibelungen"
"Celebrity","Thomas Thompson","https://www.goodreads.com/author/show/232825.Thomas_Thompson","3.9","391","https://goodreads.com/book/show/411167.Celebrity"
"Anywhere but Here","Mona Simpson","https://www.goodreads.com/author/show/55710.Mona_Simpson","3.54","2701","https://goodreads.com/book/show/1450389.Anywhere_but_Here"
"Disney's The Lion King","Don Ferguson","https://www.goodreads.com/author/show/47252.Don_Ferguson","4.5","21441","https://goodreads.com/book/show/1693617.Disney_s_The_Lion_King"
"Northwest Passage","Kenneth Roberts","https://www.goodreads.com/author/show/59605.Kenneth_Roberts","4.17","2837","https://goodreads.com/book/show/103171.Northwest_Passage"
